Date,Time,Speed_Sensor_2282,Speed_Sensor_2293
2015-02-04,1045,72.2,74.2
2015-02-10,1115,72.2,74.8
2015-02-10,1015,72.5,73.8
2015-02-10,1715,72.5,72.8
2015-02-08,1530,72.5,75.5
2015-02-08,1515,72.5,74.8
2015-02-05,1330,72.8,51.2
2015-02-04,915,72.8,63.9
2015-02-07,1300,72.8,72.5
2015-02-04,900,72.8,53.6
2015-02-09,1800,72.8,37.3
2015-02-04,1200,73.1,70.6
2015-02-08,1045,73.1,67.9
2015-02-10,1045,73.1,75.9
2015-02-10,1000,73.1,73.8
2015-02-10,1030,73.1,75.9
2015-02-10,1530,73.1,76.3
2015-02-05,1415,73.1,72.8
2015-02-05,1145,73.5,70.3
2015-02-06,1600,73.5,74.5
2015-02-07,1400,73.5,65.4
2015-02-04,1145,73.5,73.5
2015-02-04,1330,73.5,68.5
2015-02-10,1700,73.5,75.5
2015-02-07,1330,73.5,70
2015-02-04,1345,73.5,68.8
2015-02-07,1245,73.5,68.2
2015-02-10,1215,73.5,67.9
2015-02-10,1200,73.5,67.9
2015-02-07,1615,73.8,43.6
2015-02-10,1745,73.8,76.3
2015-02-05,1730,73.8,70
2015-02-05,1315,74.2,51.1
2015-02-07,1630,74.5,22
2015-02-05,1630,74.5,65.4
2015-02-07,1730,74.5,14.8
2015-02-07,1715,74.5,14.8
2015-02-10,1315,74.5,71.5
2015-02-08,1545,74.5,82.5
2015-02-07,1445,74.8,55.7
2015-02-05,1300,74.8,68.8
2015-02-06,1430,75.2,77.4
2015-02-06,1415,75.2,70
2015-02-08,1500,75.2,72.2
2015-02-09,1700,75.5,34.5
2015-02-09,1745,75.5,61
2015-02-05,1530,75.9,61.2
2015-02-10,1430,75.9,72.2
2015-02-10,1400,75.9,72.2
2015-02-09,1615,76.3,75.5
2015-02-10,900,76.3,54
2015-02-08,1200,76.3,69.4
2015-02-10,915,76.3,39
2015-02-09,1630,76.3,71.5
2015-02-09,1645,76.3,77
2015-02-04,1115,76.3,70.9
2015-02-07,1600,76.6,43.6
2015-02-05,1115,77,68.5
2015-02-04,1230,77,71.2
2015-02-09,1730,77,76.3
2015-02-10,930,77,50.9
2015-02-05,1100,77,74.2
2015-02-07,1115,77.4,72.5
2015-02-04,1430,77.4,71.2
2015-02-07,1100,77.4,41.7
2015-02-08,1430,77.4,77.7
2015-02-10,1545,77.7,76.3
2015-02-09,1715,77.7,63.4
2015-02-10,1515,78.1,69.1
2015-02-04,930,79.7,66.5
2015-02-07,1745,80.1,14.8
